Welcome to Camden Town!;['Welcome', 'to', 'Camden', 'Town', '!']
Welcome to;['Welcome', 'to']
can't (= cannot);"['ca', ""n't""]"
to listen to;['listen', 'to']
What's your name?;"['What', ""'s"", 'your', 'name', '?']"
hello;['hello']
I'm (= I am);"['I', ""'m""]"
am;['am']
Hello, I'm …;"['Hello', ',', 'I', ""'m""]"
Where are you from?;['Where', 'are', 'you', 'from', '?']
I'm from …;"['I', ""'m"", 'from']"
sister;['sister']
How old are you?;['How', 'old', 'are', 'you', '?']
how;['how']
I'm ten.;"['I', ""'m"", 'ten', '.']"
I'm eleven years old.;"['I', ""'m"", 'eleven', 'year', 'old', '.']"
We're twelve.;"['We', ""'re"", 'twelve', '.']"
I'm … years old.;"['I', ""'m"", 'year', 'old', '.']"
year;['year']
we're (= we are);"['we', ""'re""]"
we;['we']
Elephants are my favourite animals.;['Elephants', 'are', 'my', 'favourite', 'animal', '.']
boring;['boring']
don't (= do not);"['do', ""n't""]"
I don't like …;"['I', 'do', ""n't"", 'like']"
to read;['read']
What do you like?;['What', 'do', 'you', 'like', '?']
What don't you like?;"['What', 'do', ""n't"", 'you', 'like', '?']"
What about you?;['What', 'about', 'you', '?']
what;['what']
picture;['picture']
What's … in English?;"['What', ""'s"", 'in', 'English', '?']"
English;['English']
in English;['in', 'English']
to write;['write']
to write down;['write', 'down']
phone number;['phone', 'number']
to find;['find']
pet;['pet']
game;['game']
purple;['purple']
red;['red']
orange;['orange']
grey;['grey']
yellow;['yellow']
green;['green']
black;['black']
white;['white']
brown;['brown']
blue;['blue']
music;['music']
dancing (no pl);['dancing']
shut up (informal);['shut', 'up']
I'm at Camden School for Girls.;"['I', ""'m"", 'at', 'Camden', 'School', 'for', 'Girls', '.']"
school;['school']
boy;['boy']
girl;['girl']
to go to school together;['go', 'to', 'school', 'together']
yes;['yes']
his;['his']
her;['her']
So he isn't a baby like George.;"['So', 'he', 'is', ""n't"", 'a', 'baby', 'like', 'George', '.']"
colour;['colour']
example;['example']
for example;['for', 'example']
at school;['at', 'school']
Monday;['Monday']
what's (= what is);"['what', ""'s""]"
there;['there']
there is/are;['there', 'is']
there's (= there is);"['there', ""'s""]"
pencil case;['pencil', 'case']
piece of paper;['piece', 'of', 'paper']
pencil;['pencil']
scissors (only pl);['scissors', 'only']
ruler;['ruler']
word;['word']
it's (= it is);"['it', ""'s""]"
day;['day']
